Recourse,Type,Topic,Subtopic,Link,Observation,
,,Pandas,JSON,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_json.html,,
,,Pandas,JSON,https://pt.stackoverflow.com/questions/236017/exportando-dados-em-json-ou-txt-no-python,,
,,Anaconda,,https://www.youtube.com/playlist?list=PLqiFjCF_dtcymXtdjwAP4s7tRoW4CYwnH,,
,,Anaconda,,https://youtu.be/cHegZlgJpVA,,
,,Anaconda,,https://docs.conda.io/projects/conda/en/latest/user-guide/tasks/manage-environments.html,,
,,Python,Lambda,https://medium.com/swlh/lambdas-in-python-4-practical-examples-25afe0e44f88,,
,,Python,Lists,https://medium.com/better-programming/when-not-to-use-lists-in-python-5-alternatives-to-consider-11121a6ec33,,
,,Python,Lists,http://stutzbachenterprises.com/blist/,,
,,Python,Lists,https://pypi.org/project/blist/,,
,,Information extraction,,https://www.analyticsvidhya.com/blog/2020/06/nlp-project-information-extraction/,,
,,Jupyter Notebook,,https://towardsdatascience.com/top-9-jupyter-notebook-extensions-7a5d30269bc8,,
,,Jupyter Notebook,Publicar no Medium,https://pypi.org/project/jupyter-to-medium/,,
,,Jupyter Notebook,Venv,https://janakiev.com/blog/jupyter-virtual-envs/,,
,,Jupyter Notebook,viewer Jupyter,https://nbviewer.jupyter.org/github/joobernardo/Portfolio_DS/blob/master/Codenation_DS/Desafios_semana2/main.ipynb,,
,,Programação,Algorithms,https://www.coursera.org/specializations/algorithms,Curso,Coursera
,,Machine Learning,Regressão,https://www.youtube.com/watch?v=lrdJ4c_-otA,Escola Livre de IA,
,,Machine Learning,Importance Modelo Supervisionado,https://scikit-learn.org/stable/modules/generated/sklearn.inspection.permutation_importance.html#sklearn.inspection.permutation_importance,,
,,Machine Learning,GPU,https://github.com/rapidsai/cloud-ml-examples,,
,,Machine Learning,GPU,https://github.com/rapidsai/notebooks-contrib,,
,,Machine Learning,GPU,https://pythran.readthedocs.io/en/latest/,Pythran,
,,Machine Learning,GPU,https://serge-sans-paille.github.io/pythran-stories/pythran-tutorial.html,Pythran,
,,Machine Learning,GPU,https://github.com/ysraell/examples/blob/master/Pythran/Basic_Tutorial.ipynb,Pythran,
,,Machine Learning,GPU,https://github.com/ysraell/examples/tree/master/Cpp_Boost_Python,Pythran,
,,Machine Learning,GPU,https://github.com/google/jax,Jax,
,,Machine Learning,GPU,https://jax.readthedocs.io/en/latest/notebooks/quickstart.html,Jax,
,,Machine Learning,,https://www.youtube.com/playlist?list=PL5-da3qGB5ICeMbQuqbbCOQWcS6OYBr5A,,
,,Numpy,,https://www.youtube.com/watch?v=QUT1VHiLmmI,,
,,Data Science,Programação,https://hackr.io/tutorials/learn-data-science,,
,,Data Science,Microsoft,https://www.microsoft.com/pt-br/academia,,
,,Estatística,Normalizar vs padronizar,https://medium.com/data-hackers/normalizar-ou-padronizar-as-vari%C3%A1veis-3b619876ccc9,,
,,Estatística,Normalizar vs padronizar,https://medium.com/tentando-ser-um-unic%C3%B3rnio/porqu%C3%AA-e-quando-%C3%A9-necess%C3%A1rio-normalizar-os-dados-92e5cce445aa,,
